route,flights,avg_scheduled_block,avg_actual_block,avg_block_error,median_block_error,p75_block_error,p90_block_error,late_rate,avg_arrival_delay,avg_departure_delay,avg_taxi_out,avg_taxi_in,distance,recommended_action
BDL-DCA,47,84.02127659574468,81.42553191489361,-2.595744680851064,-7.0,1.5,11.799999999999997,42.5531914893617,37.95744680851064,40.5531914893617,16.78723404255319,5.723404255319149,313.0,Investigate operational root causes
DCA-BDL,48,85.16666666666667,79.72916666666667,-5.4375,-8.0,0.0,4.6000000000000085,39.58333333333333,38.458333333333336,43.895833333333336,22.229166666666668,5.729166666666667,313.0,Investigate operational root causes
DCA-BOS,626,95.06230031948881,95.74600638977635,0.6837060702875399,-3.0,6.0,18.0,35.78274760383386,25.078274760383387,24.394568690095845,23.45367412140575,6.9504792332268375,399.0,Monitor
CLT-DCA,595,84.19159663865547,88.4201680672269,4.228571428571429,1.0,15.0,28.600000000000023,35.63025210084034,15.490756302521008,11.26218487394958,29.52605042016807,5.512605042016807,331.0,Increase block time / review schedule buffer
DCA-BNA,89,120.7752808988764,120.89887640449439,0.12359550561797752,-2.0,7.0,14.0,34.831460674157306,17.01123595505618,16.8876404494382,19.224719101123597,7.651685393258427,562.0,Monitor
SYR-DCA,49,85.12244897959184,89.16326530612245,4.040816326530612,1.0,10.0,29.400000000000006,34.69387755102041,23.285714285714285,19.244897959183675,21.714285714285715,6.448979591836735,298.0,Increase block time / review schedule buffer
DCA-SYR,49,84.57142857142857,78.46938775510205,-6.1020408163265305,-9.0,1.0,7.0,34.69387755102041,15.673469387755102,21.775510204081634,23.224489795918366,4.551020408163265,298.0,Investigate operational root causes
RIC-DFW,264,209.56439393939394,210.5530303030303,0.9886363636363636,-3.0,8.0,23.0,32.196969696969695,17.96590909090909,16.977272727272727,17.545454545454547,16.16287878787879,1158.0,Monitor
FLL-DCA,156,149.50641025641025,145.73076923076923,-3.7756410256410255,-6.0,1.0,10.0,32.05128205128205,16.147435897435898,19.923076923076923,18.891025641025642,5.384615384615385,899.0,Investigate operational root causes
STL-DCA,32,121.875,121.59375,-0.28125,-3.0,6.25,12.900000000000002,31.25,15.5625,15.84375,16.71875,6.03125,719.0,Investigate operational root causes
DFW-IAD,197,172.72081218274113,166.85279187817258,-5.868020304568528,-8.0,-1.0,5.0,30.96446700507614,14.284263959390863,20.15228426395939,18.83248730964467,6.380710659898477,1172.0,Investigate operational root causes
DFW-ORF,219,173.78082191780823,165.73059360730593,-8.050228310502282,-9.0,-2.0,3.0,30.59360730593607,15.666666666666666,23.71689497716895,17.493150684931507,5.442922374429224,1212.0,Investigate operational root causes
SRQ-DCA,82,144.09756097560975,140.8170731707317,-3.2804878048780486,-7.0,-0.25,10.900000000000006,30.48780487804878,23.75609756097561,27.036585365853657,19.573170731707318,5.804878048780488,851.0,Investigate operational root causes
DCA-JAX,238,128.98739495798318,124.5,-4.487394957983193,-6.0,0.0,7.300000000000011,29.411764705882355,12.61344537815126,17.100840336134453,20.41176470588235,7.369747899159663,634.0,Investigate operational root causes
DCA-STL,31,139.16129032258064,132.4516129032258,-6.709677419354839,-8.0,-2.0,7.0,29.03225806451613,33.29032258064516,40.0,20.032258064516128,7.612903225806452,719.0,Investigate operational root causes
DCA-CHS,159,106.59748427672956,103.0,-3.59748427672956,-7.0,4.0,13.0,28.930817610062892,12.314465408805031,15.91194968553459,20.566037735849058,8.283018867924529,444.0,Investigate operational root causes
MIA-RIC,108,143.58333333333334,139.82407407407408,-3.759259259259259,-5.0,2.0,7.0,28.703703703703702,20.583333333333332,24.34259259259259,19.712962962962962,7.564814814814815,826.0,Investigate operational root causes
ORD-DCA,534,114.72097378277154,113.76591760299625,-0.9550561797752809,-3.0,5.0,17.0,28.46441947565543,17.810861423220974,18.765917602996254,24.790262172284645,5.8389513108614235,612.0,Investigate operational root causes
MCO-DCA,450,132.6911111111111,129.52,-3.171111111111111,-5.0,3.0,12.0,28.444444444444443,17.215555555555557,20.386666666666667,21.0,5.433333333333334,759.0,Investigate operational root causes
DCA-FLL,156,167.0897435897436,156.12820512820514,-10.961538461538462,-14.5,-4.0,8.0,26.923076923076923,4.673076923076923,15.634615384615385,21.833333333333332,5.3076923076923075,899.0,Investigate operational root causes
DFW-DCA,813,171.63222632226322,166.28044280442805,-5.3517835178351785,-7.0,1.0,9.0,26.814268142681424,10.30750307503075,15.659286592865929,18.354243542435423,5.182041820418204,1192.0,Investigate operational root causes
DCA-TPA,382,152.69895287958116,148.17539267015707,-4.523560209424084,-7.0,3.75,15.0,26.17801047120419,8.340314136125654,12.863874345549739,21.952879581151834,6.230366492146596,814.0,Investigate operational root causes
RSW-DCA,198,143.90404040404042,139.2020202020202,-4.702020202020202,-6.0,1.0,8.0,25.757575757575758,24.505050505050505,29.207070707070706,15.722222222222221,5.171717171717172,892.0,Investigate operational root causes
BOS-DCA,622,107.94533762057878,102.19292604501608,-5.752411575562701,-7.0,1.0,10.899999999999977,25.723472668810288,10.861736334405144,16.614147909967844,22.10289389067524,6.020900321543408,399.0,Investigate operational root causes
JAX-DCA,236,114.11864406779661,111.21610169491525,-2.902542372881356,-5.0,3.0,12.5,25.423728813559322,6.322033898305085,9.224576271186441,16.915254237288135,5.627118644067797,634.0,Investigate operational root causes
TPA-DCA,382,135.42146596858638,132.14659685863873,-3.274869109947644,-5.0,2.0,11.0,25.392670157068064,12.916230366492147,16.191099476439792,17.32460732984293,5.654450261780105,814.0,Investigate operational root causes
DCA-SAT,83,238.03614457831324,222.27710843373495,-15.759036144578314,-18.0,-10.0,7.799999999999983,25.301204819277107,0.6024096385542169,16.36144578313253,19.373493975903614,6.831325301204819,1380.0,Investigate operational root causes
ORF-DFW,219,218.8904109589041,215.4200913242009,-3.470319634703196,-6.0,5.0,14.0,25.11415525114155,24.85388127853881,28.32420091324201,14.374429223744292,17.789954337899545,1212.0,Investigate operational root causes
DCA-ORD,536,136.6007462686567,132.96455223880596,-3.6361940298507465,-6.0,3.0,14.0,25.0,13.287313432835822,16.92350746268657,19.236940298507463,15.761194029850746,612.0,Monitor
PBI-DCA,285,142.85263157894738,137.53333333333333,-5.319298245614035,-7.0,1.0,8.0,24.912280701754387,14.821052631578947,20.140350877192983,15.533333333333333,5.652631578947369,857.0,Monitor
DCA-PWM,243,99.1522633744856,92.5843621399177,-6.567901234567901,-7.0,-2.0,4.800000000000011,24.691358024691358,12.436213991769547,19.004115226337447,19.77777777777778,4.991769547325103,482.0,Monitor
CLT-IAD,158,84.4620253164557,75.34810126582279,-9.113924050632912,-10.5,-5.0,1.3000000000000114,24.68354430379747,7.563291139240507,16.67721518987342,17.911392405063292,6.1265822784810124,322.0,Monitor
DCA-SRQ,82,161.1829268292683,156.5,-4.682926829268292,-5.5,6.75,15.0,24.390243902439025,14.170731707317072,18.853658536585368,24.865853658536587,5.890243902439025,851.0,Monitor
IAD-DFW,197,216.08121827411168,204.28426395939087,-11.796954314720812,-15.0,-2.0,17.0,24.36548223350254,3.5431472081218276,15.34010152284264,18.883248730964468,16.65989847715736,1172.0,Monitor
DCA-MCO,449,150.72383073496658,148.42761692650333,-2.2962138084632517,-4.0,5.0,17.0,23.83073496659243,13.712694877505568,16.00890868596882,20.425389755011135,14.88641425389755,759.0,Monitor
DCA-RSW,198,167.0909090909091,160.82323232323233,-6.267676767676767,-9.0,1.0,12.300000000000011,23.737373737373737,10.106060606060606,16.373737373737374,22.257575757575758,5.782828282828283,892.0,Monitor
