year,quarter,month,day_of_month,day_of_week,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin,dest,crs_dep_time,dep_time,dep_delay,dep_delay_new,taxi_out,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,source_file,route,dep_hour,block_time_error,underblocked,late_arrival,is_weekend
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N109UW,1394,DCA,PBI,836,827.0,-9.0,0.0,24.0,3.0,1115,1059.0,-16.0,0.0,0.0,0.0,0.0,159.0,152.0,125.0,857.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-PBI,8,-7.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N109UW,1394,PBI,DCA,1200,1154.0,-6.0,0.0,19.0,13.0,1420,1420.0,0.0,0.0,0.0,0.0,0.0,140.0,146.0,114.0,857.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,PBI-DCA,12,6.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N109UW,2040,DCA,CLT,1528,1522.0,-6.0,0.0,28.0,26.0,1715,1715.0,0.0,0.0,0.0,0.0,0.0,107.0,113.0,59.0,331.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-CLT,15,6.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N109UW,527,CLT,DCA,1835,1829.0,-6.0,0.0,24.0,3.0,2000,1949.0,-11.0,0.0,0.0,0.0,0.0,85.0,80.0,53.0,331.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,CLT-DCA,18,-5.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N114UW,1269,CLT,DCA,2134,2216.0,42.0,42.0,14.0,3.0,2301,2326.0,25.0,25.0,1.0,0.0,0.0,87.0,70.0,53.0,331.0,25.0,0.0,0.0,0.0,0.0,T_ONTIME_REPORTING OCT 2025.csv,CLT-DCA,21,-17.0,0,1,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N114UW,3043,DCA,CLT,500,1303.0,483.0,483.0,20.0,9.0,628,1420.0,472.0,472.0,1.0,0.0,0.0,88.0,77.0,48.0,331.0,472.0,0.0,0.0,0.0,0.0,T_ONTIME_REPORTING OCT 2025.csv,DCA-CLT,5,-11.0,0,1,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N121UW,1518,DCA,CLT,859,854.0,-5.0,0.0,28.0,6.0,1046,1023.0,-23.0,0.0,0.0,0.0,0.0,107.0,89.0,55.0,331.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-CLT,8,-18.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N125UW,2825,CLT,DCA,936,929.0,-7.0,0.0,14.0,4.0,1059,1045.0,-14.0,0.0,0.0,0.0,0.0,83.0,76.0,58.0,331.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,CLT-DCA,9,-7.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N125UW,808,DCA,ORD,1225,1217.0,-8.0,0.0,26.0,16.0,1342,1328.0,-14.0,0.0,0.0,0.0,0.0,137.0,131.0,89.0,612.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-ORD,12,-6.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N171US,1063,RIC,CLT,615,607.0,-8.0,0.0,15.0,7.0,745,717.0,-28.0,0.0,0.0,0.0,0.0,90.0,70.0,48.0,257.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,RIC-CLT,6,-20.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N177XF,1791,DCA,SYR,1547,1538.0,-9.0,0.0,31.0,5.0,1709,1707.0,-2.0,0.0,0.0,0.0,0.0,82.0,89.0,53.0,298.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-SYR,15,7.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N177XF,1791,SYR,DCA,1752,1739.0,-13.0,0.0,19.0,11.0,1914,1916.0,2.0,2.0,0.0,0.0,0.0,82.0,97.0,67.0,298.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,SYR-DCA,17,15.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N177XF,2120,DCA,BOS,2030,2031.0,1.0,1.0,29.0,6.0,2209,2210.0,1.0,1.0,0.0,0.0,0.0,99.0,99.0,64.0,399.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-BOS,20,0.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N177XF,2813,ORD,DCA,1130,1122.0,-8.0,0.0,27.0,9.0,1424,1424.0,0.0,0.0,0.0,0.0,0.0,114.0,122.0,86.0,612.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,ORD-DCA,11,8.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N301NW,3209,DCA,TPA,1022,1016.0,-6.0,0.0,14.0,11.0,1256,1234.0,-22.0,0.0,0.0,0.0,0.0,154.0,138.0,113.0,814.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-TPA,10,-16.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N301NW,3305,TPA,DCA,700,652.0,-8.0,0.0,15.0,4.0,925,902.0,-23.0,0.0,0.0,0.0,0.0,145.0,130.0,111.0,814.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,TPA-DCA,7,-15.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N305NX,1947,DCA,SAT,1959,1951.0,-8.0,0.0,20.0,4.0,2236,2207.0,-29.0,0.0,0.0,0.0,0.0,217.0,196.0,172.0,1380.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-SAT,19,-21.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N305NX,3034,MIA,DCA,1616,1603.0,-13.0,0.0,13.0,4.0,1849,1818.0,-31.0,0.0,0.0,0.0,0.0,153.0,135.0,118.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MIA-DCA,16,-18.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N306NY,2282,DFW,ORF,1055,1049.0,-6.0,0.0,12.0,4.0,1452,1437.0,-15.0,0.0,0.0,0.0,0.0,177.0,168.0,152.0,1212.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DFW-ORF,10,-9.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N306NY,2282,ORF,DFW,1543,1535.0,-8.0,0.0,14.0,12.0,1804,1748.0,-16.0,0.0,0.0,0.0,0.0,201.0,193.0,167.0,1212.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,ORF-DFW,15,-8.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N306SP,545,CLT,DCA,2038,2031.0,-7.0,0.0,32.0,20.0,2206,2215.0,9.0,9.0,0.0,0.0,0.0,88.0,104.0,52.0,331.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,CLT-DCA,20,16.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N307TA,2897,MIA,DCA,2027,2021.0,-6.0,0.0,29.0,3.0,2300,2248.0,-12.0,0.0,0.0,0.0,0.0,153.0,147.0,115.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MIA-DCA,20,-6.0,0,0,0
