route,flights,avg_scheduled_elapsed_time,avg_actual_elapsed_time,avg_predicted_actual_elapsed_time,avg_predicted_block_time_gap,median_predicted_block_time_gap,p75_predicted_block_time_gap,mae_gradient_boosting,candidate_buffer_minutes
CLT-DCA,208,83.65384615384616,84.0673076923077,89.07082215563922,5.4169760017930635,6.7200696822778525,9.279165748624607,11.949376468845552,5.4169760017930635
DCA-BOS,202,91.65841584158416,92.15346534653466,94.27040124882494,2.6119854072407884,2.843057361836671,4.11507709144588,9.823388921133743,2.6119854072407884
MCI-DCA,1,134.0,132.0,134.6933332750836,0.693333275083603,0.693333275083603,0.693333275083603,2.693333275083603,0.693333275083603
RDU-DCA,13,67.0,61.92307692307692,66.80675077394015,-0.19324922605984357,-0.021227587289018857,-0.021227587289018857,6.783855975579862,0.0
JAX-DCA,60,113.66666666666667,107.16666666666667,113.41567829818628,-0.2509883684803872,-0.5115781671480946,0.8982380304527737,9.524391994055438,0.0
ORD-DCA,146,114.4931506849315,112.91780821917808,113.97647008513172,-0.5166805997997859,0.17032023086017034,2.0459903136736344,11.993319064976914,0.0
BNA-DCA,35,106.91428571428571,105.45714285714286,105.99362572719582,-0.9206599870898969,-1.0749058917956091,-0.719853967745749,12.493451594078815,0.0
DCA-RDU,13,72.15384615384616,60.76923076923077,71.07979937859619,-1.0740467752499694,-0.18083077284411786,0.00885088100507403,10.310568609365415,0.0
MSY-DCA,32,146.59375,138.4375,145.48021388217703,-1.1135361178229726,-1.0331283091373678,-0.830472939084018,8.496380846774896,0.0
CHS-DCA,42,94.02380952380952,87.71428571428571,92.55004341459852,-1.4737661092110035,-2.4961869605652893,-0.30069501556714684,9.990415260097285,0.0
RIC-DFW,85,216.7764705882353,217.45882352941177,215.28266148139807,-1.493809106837224,-1.8927667041705831,1.010516892791287,15.901624164148325,0.0
VPS-DCA,30,128.73333333333332,129.1,127.11068285651326,-1.6226504768200678,-1.323091457544919,-1.2032268726811992,8.426096424740509,0.0
SRQ-DCA,29,146.10344827586206,137.93103448275863,144.4211090543764,-1.6823392214856836,-4.555052819188035,-4.273707402851102,12.43184042100685,0.0
TPA-DCA,131,133.6259541984733,129.01526717557252,131.582543584953,-2.043410613520294,-2.1868395168027064,-0.9451919627727534,7.846154714710546,0.0
DCA-PVD,19,79.89473684210526,82.6842105263158,77.69392165052719,-2.2008151915780783,-1.4116145525634067,-0.25115646821542725,12.832882307225395,0.0
MCO-DCA,152,132.0,128.1315789473684,129.78207068708673,-2.2179293129132724,-2.0985681759642603,-1.1529592303438108,8.488969904601003,0.0
RSW-DCA,88,144.375,138.9659090909091,141.75646006729852,-2.618539932701483,-3.351334130831333,-1.4021563033292068,8.897473625187283,0.0
DFW-DCA,273,169.15018315018315,160.9267399267399,166.4378724469504,-2.712310703232757,-3.241390340992922,-1.3542528984487205,9.254645863816233,0.0
DCA-PWM,70,94.04285714285714,92.52857142857142,91.15435522224463,-2.8885019206125,-2.9434250198375835,-1.6808492872387149,8.60060202213642,0.0
DCA-JAX,60,129.06666666666666,124.81666666666666,126.03851018855254,-3.0281564781141315,-2.764984682674907,-1.72346364779904,10.21639840465082,0.0
PVD-DCA,19,96.0,102.10526315789474,92.76016041147508,-3.2398395885249123,-2.917960210484253,-2.728278556635061,13.043238273939656,0.0
PBI-DCA,116,144.52586206896552,136.75,141.25846336675056,-3.2673987022149458,-3.5550528191880346,-1.9356034905737545,8.873567619066483,0.0
DCA-CHS,42,104.0,104.30952380952381,100.7137541937035,-3.286245806296491,-3.4214828706864324,-0.9702118890491249,8.434971267400465,0.0
MIA-DCA,291,154.4914089347079,149.2852233676976,150.93109875395493,-3.560310180752958,-3.386441407055429,-1.468384785989997,8.090085157524426,0.0
FLL-DCA,71,151.01408450704224,145.61971830985917,147.25825306023438,-3.7558314468078846,-4.306051809208213,-2.182288748295065,8.301838320032354,0.0
DFW-IAD,60,171.15,162.26666666666668,166.6246801589121,-4.525319841087916,-3.872890539968793,-2.87577891802394,9.150348815245982,0.0
DCA-MCO,153,152.13725490196077,151.33333333333334,147.55855296262465,-4.578701939336134,-4.514152836772411,-2.560952066225582,12.016964803628992,0.0
CLT-RIC,167,74.44311377245509,67.2994011976048,69.44192216718204,-5.001191605273051,-4.910538999817703,-3.4511287353032714,7.815386269598823,0.0
BOS-DCA,201,108.09452736318408,103.7363184079602,102.7321964092759,-5.362330953908188,-5.301245490730182,-3.5922519658355725,9.61118436876136,0.0
MIA-RIC,44,145.63636363636363,141.45454545454547,139.94599040911564,-5.6903732272480125,-5.148443426193666,-5.0090689324435616,6.27317153527192,0.0
DCA-BNA,34,123.17647058823529,124.32352941176471,117.37236754566186,-5.8041030425734235,-7.155929433510273,-1.9401456477022663,8.587109214228738,0.0
DFW-RIC,85,168.03529411764706,157.5529411764706,162.14634380467055,-5.888950312976507,-5.227798698254446,-2.8436020827989807,9.552775470312886,0.0
DCA-ORD,146,139.91095890410958,136.63013698630138,133.98949368135106,-5.921465222758507,-5.576338303412804,-5.176443847134806,10.427190282937481,0.0
CLT-ORF,71,74.3943661971831,67.43661971830986,67.99541468531491,-6.398951511868192,-5.8033018398606515,-4.109803609812147,6.6643871954161105,0.0
DFW-ORF,76,174.07894736842104,163.3684210526316,167.55869911265572,-6.520248255765337,-5.661717497110516,-4.137774073072762,9.2009428863231,0.0
PHX-DCA,90,249.04444444444445,241.14444444444445,242.4664606185226,-6.577983825921846,-5.973034050844433,-5.552744197906179,9.420631334148036,0.0
PWM-DCA,70,116.9,115.28571428571429,110.21070020276632,-6.689299797233685,-6.816897286799602,-5.362269463414933,10.586496126816305,0.0
BDL-DCA,12,89.0,85.83333333333333,82.28588874843092,-6.714111251569082,-7.030191780697848,-6.843687191285483,6.843397260232616,0.0
IAD-CLT,37,93.08108108108108,94.1891891891892,86.26224834127542,-6.8188327398056545,-5.622857084444661,-4.71452084693243,13.23518514462686,0.0
CLT-IAD,36,84.0,72.44444444444444,76.94800748409051,-7.051992515909486,-6.142920050763365,-5.684929896927272,6.386764239638842,0.0
SYR-DCA,21,89.57142857142857,98.19047619047619,82.40364103208373,-7.16778753934485,-7.703998244500781,-5.74943271509153,21.3851808536752,0.0
DCA-TPA,130,155.7923076923077,152.9923076923077,148.49024344080584,-7.302064251501877,-6.699613470561829,-5.0598227921798085,13.550298388595037,0.0
SAT-DCA,23,190.95652173913044,181.0,183.55763461999976,-7.398887119130682,-8.436355194244726,-5.8320114119692334,10.145098965804094,0.0
DCA-CLT,205,96.88780487804878,92.4,89.3548294309475,-7.532975447101276,-7.501185160430808,-6.046251595514562,10.481819561548216,0.0
LAS-DCA,31,267.96774193548384,253.0,260.4309691222479,-7.536772813235958,-5.33306736476743,-5.179639294869105,12.245516236206068,0.0
ORF-DFW,78,225.52564102564102,219.56410256410257,217.8313827933806,-7.694258232260415,-7.673673747877842,-6.586236106034221,11.890758426735648,0.0
DCA-SRQ,29,158.13793103448276,157.58620689655172,150.37633574788077,-7.761595286601997,-8.009806247737487,-6.860496968593111,14.857960324881942,0.0
DCA-BDL,13,88.0,86.07692307692308,79.96138725444597,-8.038612745554044,-8.381397887856338,-8.100052471519376,12.11217241769906,0.0
RIC-MIA,45,157.11111111111111,150.8,148.89881194919496,-8.212299161916153,-9.152443653263248,-6.426029218838295,14.985645156548603,0.0
DCA-RSW,88,165.5681818181818,160.9659090909091,157.27815541363972,-8.290026404542091,-7.7223404843092,-6.950358760300958,12.346859727099739,0.0
RIC-CLT,167,84.7185628742515,82.08383233532935,76.40306560924579,-8.315497265005707,-8.255648696703446,-6.698638645991167,10.806361261520369,0.0
DCA-PBI,116,158.50862068965517,153.16379310344828,150.16353716061928,-8.34508352903587,-8.68367725174744,-6.592853215300494,14.11231227381844,0.0
DCA-DFW,272,221.96323529411765,215.54044117647058,213.45781192473763,-8.505423369380011,-8.331344907098355,-6.568444792988068,15.425176469309557,0.0
ORF-MIA,31,147.80645161290323,141.4516129032258,139.17365210688817,-8.632799506015044,-8.656525415342344,-7.963546555238466,11.121394471879915,0.0
ORF-CLT,72,89.56944444444444,86.20833333333333,80.89725721532564,-8.672187229118803,-9.472797454595828,-7.275508125363487,8.581680633248412,0.0
DCA-SYR,21,85.71428571428571,78.95238095238095,77.01331590595635,-8.700969808329376,-10.089984587773401,-6.766542779911404,8.016133305222285,0.0
DCA-VPS,30,160.6,157.8,151.76261682524392,-8.837383174756091,-9.110801290003849,-7.9842277403524236,16.92735617661731,0.0
LAX-DCA,62,292.7258064516129,278.66129032258067,283.37131191718925,-9.354494534423669,-9.005176700623394,-7.789998604312956,11.659859996685716,0.0
MIA-ORF,31,142.51612903225808,137.6451612903226,132.7106505791867,-9.805478453071366,-8.973202739646041,-8.868970577655531,10.24946118090827,0.0
DCA-MCI,1,171.0,178.0,161.16902208528535,-9.830977914714651,-9.830977914714651,-9.830977914714651,16.83097791471465,0.0
DCA-MIA,292,172.5376712328767,164.29794520547946,162.35334309334203,-10.184328139534657,-10.004629999211431,-7.699587574099098,12.346291896208472,0.0
DCA-LAS,31,327.2258064516129,315.64516129032256,315.89852337389664,-11.327283077716277,-11.558558594091949,-11.323045058998872,10.0387064762014,0.0
DCA-FLL,71,169.28169014084506,160.0281690140845,157.73265927912348,-11.549030861721596,-10.68162227645766,-9.54319851472593,12.51763777120925,0.0
DCA-MSY,32,174.9375,170.28125,163.29664418169358,-11.640855818306424,-11.696637109906604,-10.051252951263713,13.633777451624887,0.0
DCA-PHX,90,313.7888888888889,306.8333333333333,301.90235691323676,-11.886531975652131,-10.999414245693515,-10.370012318938393,12.154204578290953,0.0
DCA-LAX,60,359.8333333333333,349.18333333333334,347.11686507140274,-12.716468261930606,-11.785986317816963,-10.041173202699923,14.429210709011148,0.0
DCA-SAT,22,234.1818181818182,226.63636363636363,219.62991712479837,-14.551901057019785,-12.653022403911336,-12.472404146049897,15.416137957954806,0.0
IAD-DFW,60,224.53333333333333,211.88333333333333,206.6778517850193,-17.855481548314046,-17.3234147832693,-17.042069366932367,16.155747190433512,0.0
