route,flights,avg_scheduled_elapsed_time,avg_predicted_actual_elapsed_time,avg_predicted_block_time_gap,p75_predicted_block_time_gap,buffer_need_minutes,recommended_buffer_minutes,projected_scheduled_elapsed_time,remaining_buffer_need_minutes,total_added_scheduled_minutes
CLT-DCA,208,83.65384615384616,89.07082215563922,5.416976001793064,9.279165748624608,10,6,89.65384615384616,4,1248
DCA-BOS,202,91.65841584158416,94.27040124882494,2.6119854072407884,4.11507709144588,5,4,95.65841584158416,1,808
JAX-DCA,60,113.66666666666669,113.41567829818628,-0.2509883684803872,0.8982380304527737,1,1,114.66666666666669,0,60
ORD-DCA,146,114.4931506849315,113.97647008513172,-0.5166805997997859,2.0459903136736344,3,1,115.4931506849315,2,146
RDU-DCA,13,67.0,66.80675077394015,-0.1932492260598435,-0.0212275872890188,0,0,67.0,0,0
BNA-DCA,35,106.91428571428573,105.99362572719582,-0.9206599870898968,-0.719853967745749,0,0,106.91428571428573,0,0
DCA-RDU,13,72.15384615384616,71.07979937859619,-1.0740467752499694,0.008850881005074,1,0,72.15384615384616,1,0
MSY-DCA,32,146.59375,145.48021388217705,-1.1135361178229726,-0.830472939084018,0,0,146.59375,0,0
CHS-DCA,42,94.02380952380952,92.55004341459852,-1.4737661092110037,-0.3006950155671468,0,0,94.02380952380952,0,0
RIC-DFW,85,216.7764705882353,215.2826614813981,-1.493809106837224,1.010516892791287,2,0,216.7764705882353,2,0
VPS-DCA,30,128.73333333333332,127.11068285651326,-1.6226504768200678,-1.2032268726811992,0,0,128.73333333333332,0,0
SRQ-DCA,29,146.10344827586206,144.4211090543764,-1.6823392214856836,-4.273707402851102,0,0,146.10344827586206,0,0
TPA-DCA,131,133.6259541984733,131.582543584953,-2.043410613520294,-0.9451919627727534,0,0,133.6259541984733,0,0
DCA-PVD,19,79.89473684210526,77.69392165052719,-2.2008151915780783,-0.2511564682154272,0,0,79.89473684210526,0,0
MCO-DCA,152,132.0,129.78207068708673,-2.2179293129132724,-1.1529592303438108,0,0,132.0,0,0
RSW-DCA,88,144.375,141.75646006729852,-2.618539932701483,-1.4021563033292068,0,0,144.375,0,0
DFW-DCA,273,169.15018315018315,166.4378724469504,-2.712310703232757,-1.3542528984487203,0,0,169.15018315018315,0,0
DCA-PWM,70,94.04285714285714,91.15435522224465,-2.8885019206125,-1.6808492872387149,0,0,94.04285714285714,0,0
DCA-JAX,60,129.06666666666666,126.03851018855254,-3.0281564781141315,-1.72346364779904,0,0,129.06666666666666,0,0
PVD-DCA,19,96.0,92.76016041147508,-3.2398395885249123,-2.728278556635061,0,0,96.0,0,0
PBI-DCA,116,144.52586206896552,141.25846336675056,-3.2673987022149458,-1.9356034905737545,0,0,144.52586206896552,0,0
DCA-CHS,42,104.0,100.7137541937035,-3.286245806296491,-0.9702118890491248,0,0,104.0,0,0
MIA-DCA,291,154.4914089347079,150.93109875395493,-3.560310180752958,-1.468384785989997,0,0,154.4914089347079,0,0
FLL-DCA,71,151.01408450704224,147.25825306023438,-3.7558314468078846,-2.182288748295065,0,0,151.01408450704224,0,0
DFW-IAD,60,171.15,166.6246801589121,-4.525319841087916,-2.87577891802394,0,0,171.15,0,0
DCA-MCO,153,152.13725490196077,147.55855296262465,-4.578701939336134,-2.560952066225582,0,0,152.13725490196077,0,0
CLT-RIC,167,74.44311377245509,69.44192216718204,-5.001191605273051,-3.451128735303272,0,0,74.44311377245509,0,0
BOS-DCA,201,108.09452736318408,102.7321964092759,-5.362330953908188,-3.5922519658355725,0,0,108.09452736318408,0,0
MIA-RIC,44,145.63636363636363,139.94599040911564,-5.6903732272480125,-5.0090689324435616,0,0,145.63636363636363,0,0
DCA-BNA,34,123.17647058823528,117.37236754566186,-5.804103042573424,-1.9401456477022665,0,0,123.17647058823528,0,0
DFW-RIC,85,168.03529411764706,162.14634380467055,-5.888950312976507,-2.8436020827989807,0,0,168.03529411764706,0,0
DCA-ORD,146,139.91095890410958,133.98949368135106,-5.921465222758507,-5.176443847134806,0,0,139.91095890410958,0,0
CLT-ORF,71,74.3943661971831,67.99541468531491,-6.398951511868192,-4.109803609812147,0,0,74.3943661971831,0,0
DFW-ORF,76,174.07894736842104,167.55869911265572,-6.520248255765337,-4.137774073072762,0,0,174.07894736842104,0,0
PHX-DCA,90,249.04444444444445,242.4664606185226,-6.577983825921846,-5.552744197906179,0,0,249.04444444444445,0,0
PWM-DCA,70,116.9,110.21070020276632,-6.689299797233685,-5.362269463414933,0,0,116.9,0,0
BDL-DCA,12,89.0,82.28588874843092,-6.714111251569082,-6.843687191285483,0,0,89.0,0,0
IAD-CLT,37,93.08108108108108,86.26224834127542,-6.818832739805655,-4.71452084693243,0,0,93.08108108108108,0,0
CLT-IAD,36,84.0,76.94800748409051,-7.051992515909486,-5.684929896927272,0,0,84.0,0,0
SYR-DCA,21,89.57142857142857,82.40364103208373,-7.16778753934485,-5.74943271509153,0,0,89.57142857142857,0,0
DCA-TPA,130,155.7923076923077,148.49024344080584,-7.302064251501877,-5.0598227921798085,0,0,155.7923076923077,0,0
SAT-DCA,23,190.95652173913044,183.55763461999976,-7.398887119130682,-5.8320114119692334,0,0,190.95652173913044,0,0
DCA-CLT,205,96.88780487804878,89.3548294309475,-7.532975447101276,-6.046251595514562,0,0,96.88780487804878,0,0
LAS-DCA,31,267.96774193548384,260.4309691222479,-7.536772813235958,-5.179639294869105,0,0,267.96774193548384,0,0
ORF-DFW,78,225.52564102564105,217.8313827933806,-7.694258232260415,-6.586236106034221,0,0,225.52564102564105,0,0
DCA-SRQ,29,158.13793103448276,150.37633574788077,-7.761595286601997,-6.860496968593111,0,0,158.13793103448276,0,0
DCA-BDL,13,88.0,79.96138725444597,-8.038612745554044,-8.100052471519376,0,0,88.0,0,0
RIC-MIA,45,157.11111111111111,148.89881194919496,-8.212299161916153,-6.426029218838295,0,0,157.11111111111111,0,0
DCA-RSW,88,165.5681818181818,157.27815541363972,-8.290026404542091,-6.950358760300958,0,0,165.5681818181818,0,0
RIC-CLT,167,84.7185628742515,76.40306560924579,-8.315497265005707,-6.698638645991167,0,0,84.7185628742515,0,0
DCA-PBI,116,158.50862068965515,150.16353716061928,-8.34508352903587,-6.592853215300494,0,0,158.50862068965515,0,0
DCA-DFW,272,221.96323529411765,213.45781192473763,-8.505423369380011,-6.568444792988068,0,0,221.96323529411765,0,0
ORF-MIA,31,147.80645161290323,139.17365210688817,-8.632799506015044,-7.963546555238466,0,0,147.80645161290323,0,0
ORF-CLT,72,89.56944444444444,80.89725721532564,-8.672187229118803,-7.275508125363487,0,0,89.56944444444444,0,0
DCA-SYR,21,85.71428571428571,77.01331590595635,-8.700969808329376,-6.766542779911404,0,0,85.71428571428571,0,0
DCA-VPS,30,160.6,151.76261682524392,-8.837383174756091,-7.984227740352423,0,0,160.6,0,0
LAX-DCA,62,292.7258064516129,283.37131191718925,-9.354494534423669,-7.789998604312956,0,0,292.7258064516129,0,0
MIA-ORF,31,142.51612903225808,132.7106505791867,-9.805478453071366,-8.868970577655531,0,0,142.51612903225808,0,0
DCA-MIA,292,172.5376712328767,162.35334309334203,-10.184328139534657,-7.699587574099098,0,0,172.5376712328767,0,0
DCA-LAS,31,327.2258064516129,315.89852337389664,-11.327283077716276,-11.323045058998872,0,0,327.2258064516129,0,0
DCA-FLL,71,169.28169014084506,157.73265927912348,-11.549030861721596,-9.54319851472593,0,0,169.28169014084506,0,0
DCA-MSY,32,174.9375,163.29664418169358,-11.640855818306424,-10.051252951263711,0,0,174.9375,0,0
DCA-PHX,90,313.7888888888889,301.9023569132368,-11.886531975652131,-10.370012318938391,0,0,313.7888888888889,0,0
DCA-LAX,60,359.8333333333333,347.11686507140274,-12.716468261930606,-10.041173202699923,0,0,359.8333333333333,0,0
DCA-SAT,22,234.1818181818182,219.6299171247984,-14.551901057019784,-12.472404146049897,0,0,234.1818181818182,0,0
IAD-DFW,60,224.53333333333333,206.6778517850193,-17.855481548314046,-17.042069366932367,0,0,224.53333333333333,0,0
